id,full_name,age,gender,village,district,province,business_type,business_description,claimed_monthly_income,years_in_business,marital_status,num_dependents,education_level,phone_number,has_bank_account,keeps_financial_records,financial_literacy_score
1,Ibu Pia Gunarto,27,Female,Desa Rancaekek,Garut,Jawa Barat,Warung Kelontong (Small Shop),Toko kelontong lengkap dengan produk rumah tangga dan makanan ringan,3601730,13.2,Janda,5,SMA,089085761723,False,True,70
2,Ibu Jelita Fujiati,45,Female,Desa Cikalong,Bandung,Jawa Barat,Warung Kelontong (Small Shop),Warung kecil di depan rumah jual sembako dan kebutuhan pokok warga sekitar,3291275,8.0,Menikah,1,SMA,089959362315,False,False,67
3,Ibu Tina Purwanti,38,Female,Desa Rancaekek,Cianjur,Jawa Barat,Warung Kelontong (Small Shop),Jual kebutuhan sehari-hari seperti sabun minyak goreng gula teh rokok snack anak-anak,3303911,5.8,Janda,0,D3,087027270264,False,False,39
4,Ibu Nadia Prasetyo,42,Female,Desa Margahayu,Tasikmalaya,Jawa Barat,Warung Kelontong (Small Shop),Toko kelontong lengkap dengan produk rumah tangga dan makanan ringan,3348314,1.5,Lajang,0,SMA,089648615802,True,True,50
5,Ibu Tami Uyainah,45,Female,Desa Margahayu,Tasikmalaya,Jawa Barat,Warung Kelontong (Small Shop),Jual kebutuhan sehari-hari seperti sabun minyak goreng gula teh rokok snack anak-anak,4705752,9.8,Menikah,2,D3,081923286871,True,True,56
6,Ibu Kezia Anggraini,49,Female,Desa Sindanglaya,Majalengka,Jawa Barat,Warung Kelontong (Small Shop),Warung kecil di depan rumah jual sembako dan kebutuhan pokok warga sekitar,3893542,8.1,Menikah,3,SMP,087181858447,False,True,37
7,Ibu Padma Jailani,52,Female,Desa Rancaekek,Bandung,Jawa Barat,Warung Kelontong (Small Shop),Jual kebutuhan sehari-hari seperti sabun minyak goreng gula teh rokok snack anak-anak,4267548,8.4,Janda,0,SMA,085258513728,True,False,64
8,Ibu Tantri Hutagalung,27,Female,Desa Margahayu,Cianjur,Jawa Barat,Warung Kelontong (Small Shop),Jual kebutuhan sehari-hari seperti sabun minyak goreng gula teh rokok snack anak-anak,4677560,7.1,Lajang,5,D3,085463923975,True,False,70
9,Ibu Icha Pratama,54,Female,Desa Cipanas,Cianjur,Jawa Barat,Warung Kelontong (Small Shop),Warung kecil di depan rumah jual sembako dan kebutuhan pokok warga sekitar,4871808,3.8,Lajang,2,SD,086694925832,False,True,61
10,Ibu Padmi Gunarto,37,Female,Desa Bojongsoang,Tasikmalaya,Jawa Barat,Warung Kelontong (Small Shop),Toko kelontong lengkap dengan produk rumah tangga dan makanan ringan,3572451,11.9,Lajang,5,SD,083421468064,True,False,78
11,Ibu Usyi Namaga,35,Female,Desa Sindanglaya,Cianjur,Jawa Barat,Warung Kelontong (Small Shop),Jual kebutuhan sehari-hari seperti sabun minyak goreng gula teh rokok snack anak-anak,4179347,11.2,Janda,2,D3,087096427695,True,True,36
12,Ibu Bella Budiman,30,Female,Desa Sukamaju,Tasikmalaya,Jawa Barat,Warung Kelontong (Small Shop),Toko kelontong lengkap dengan produk rumah tangga dan makanan ringan,3480899,10.6,Janda,4,SMA,082426019043,True,True,72
13,Ibu Michelle Winarno,25,Female,Desa Sindanglaya,Tasikmalaya,Jawa Barat,Warung Kelontong (Small Shop),Toko kelontong lengkap dengan produk rumah tangga dan makanan ringan,3437719,13.1,Janda,0,D3,082566055631,True,False,72
14,Ibu Gawati Salahudin,45,Female,Desa Margahayu,Cianjur,Jawa Barat,Warung Kelontong (Small Shop),Jual kebutuhan sehari-hari seperti sabun minyak goreng gula teh rokok snack anak-anak,3733285,9.5,Janda,1,D3,084135419801,True,False,69
15,Ibu Violet Waluyo,40,Female,Desa Sindanglaya,Bandung,Jawa Barat,Warung Kelontong (Small Shop),Toko kelontong lengkap dengan produk rumah tangga dan makanan ringan,4766758,1.4,Menikah,1,D3,085810735009,False,False,28
16,Ibu Zulfa Siregar,45,Female,Desa Margahayu,Garut,Jawa Barat,Warung Kelontong (Small Shop),Jual kebutuhan sehari-hari seperti sabun minyak goreng gula teh rokok snack anak-anak,3633142,3.9,Menikah,2,D3,082083856673,False,False,37
17,Ibu Zamira Suwarno,36,Female,Desa Margahayu,Sumedang,Jawa Barat,Warung Kelontong (Small Shop),Toko kelontong lengkap dengan produk rumah tangga dan makanan ringan,4184510,10.5,Janda,0,D3,083351795998,True,False,50
18,Ibu Farah Puspita,40,Female,Desa Bojongsoang,Bandung,Jawa Barat,Warung Kelontong (Small Shop),Warung kecil di depan rumah jual sembako dan kebutuhan pokok warga sekitar,4704670,14.2,Lajang,0,SD,084309339444,False,True,51
19,Ibu Nilam Safitri,27,Female,Desa Bojongsoang,Garut,Jawa Barat,Warung Gorengan (Fried Snacks Stall),Warung gorengan buka dari sore sampai malam pelanggan tetap banyak,2914480,1.0,Lajang,3,D3,081136389220,False,False,25
20,Ibu Citra Wulandari,34,Female,Desa Rancaekek,Sumedang,Jawa Barat,Warung Gorengan (Fried Snacks Stall),Jual gorengan seperti pisang goreng tempe goreng dan tahu isi setiap sore,2279233,9.8,Janda,4,SMA,083869472647,True,True,51
21,Ibu Raina Kusumo,38,Female,Desa Sindanglaya,Tasikmalaya,Jawa Barat,Warung Gorengan (Fried Snacks Stall),Jual gorengan seperti pisang goreng tempe goreng dan tahu isi setiap sore,2707155,1.0,Janda,5,SMA,081425902237,False,True,27
22,Ibu Karen Budiyanto,49,Female,Desa Cipanas,Tasikmalaya,Jawa Barat,Warung Gorengan (Fried Snacks Stall),Produksi gorengan fresh setiap hari untuk dijual ke tetangga dan anak sekolah,2755818,10.3,Lajang,3,D3,085770262565,False,True,41
23,Ibu Fitria Nainggolan,50,Female,Desa Cipanas,Tasikmalaya,Jawa Barat,Warung Gorengan (Fried Snacks Stall),Produksi gorengan fresh setiap hari untuk dijual ke tetangga dan anak sekolah,2405252,10.5,Lajang,1,SMA,089253246973,True,True,70
24,Ibu Ira Ardianto,50,Female,Desa Bojongsoang,Bandung,Jawa Barat,Warung Gorengan (Fried Snacks Stall),Produksi gorengan fresh setiap hari untuk dijual ke tetangga dan anak sekolah,2685966,2.5,Lajang,4,SMP,084914199096,False,True,72
25,Ibu Ciaobella Yolanda,26,Female,Desa Cipanas,Bandung,Jawa Barat,Warung Gorengan (Fried Snacks Stall),Produksi gorengan fresh setiap hari untuk dijual ke tetangga dan anak sekolah,2576790,9.5,Lajang,5,SD,081964648289,False,False,72
26,Ibu Jelita Irawan,44,Female,Desa Sukamaju,Bandung,Jawa Barat,Warung Gorengan (Fried Snacks Stall),Produksi gorengan fresh setiap hari untuk dijual ke tetangga dan anak sekolah,2763980,14.0,Lajang,3,D3,087787319807,False,True,20
27,Ibu Septi Mulyani,28,Female,Desa Bojongsoang,Cianjur,Jawa Barat,Warung Gorengan (Fried Snacks Stall),Produksi gorengan fresh setiap hari untuk dijual ke tetangga dan anak sekolah,2186256,4.7,Lajang,1,SMP,085271305250,True,True,42
28,Ibu Wirda Rahmawati,38,Female,Desa Sukamaju,Sumedang,Jawa Barat,Warung Gorengan (Fried Snacks Stall),Produksi gorengan fresh setiap hari untuk dijual ke tetangga dan anak sekolah,2660081,1.8,Janda,0,SD,088897227064,True,False,68
29,Ibu Mutia Sihombing,53,Female,Desa Rancaekek,Garut,Jawa Barat,Warung Gorengan (Fried Snacks Stall),Produksi gorengan fresh setiap hari untuk dijual ke tetangga dan anak sekolah,2305912,4.5,Lajang,0,D3,089697234412,True,False,38
30,Ibu Halima Rahayu,35,Female,Desa Rancaekek,Sumedang,Jawa Barat,Jahit Pakaian (Tailoring),Usaha jahit pakaian custom dan perbaikan baju. Sudah punya pelanggan tetap,2959394,1.8,Janda,4,SMP,081436792931,True,False,35
31,Ibu Intan Aryani,28,Female,Desa Sukamaju,Sumedang,Jawa Barat,Jahit Pakaian (Tailoring),Jahit baju rumah dan sekolah kadang dapat pesanan seragam,3535309,5.1,Menikah,2,D3,083000406386,False,False,55
32,Ibu Karen Simbolon,43,Female,Desa Bojongsoang,Cianjur,Jawa Barat,Jahit Pakaian (Tailoring),Usaha jahit pakaian custom dan perbaikan baju. Sudah punya pelanggan tetap,3311938,10.6,Menikah,1,SMP,087883325424,True,False,57
33,Ibu Vera Yulianti,52,Female,Desa Rancaekek,Cianjur,Jawa Barat,Jahit Pakaian (Tailoring),Jahit baju rumah dan sekolah kadang dapat pesanan seragam,2527422,2.5,Lajang,2,D3,082215921099,False,True,55
34,Ibu Titi Puspita,54,Female,Desa Rancaekek,Majalengka,Jawa Barat,Jahit Pakaian (Tailoring),Usaha jahit pakaian custom dan perbaikan baju. Sudah punya pelanggan tetap,3458730,0.6,Menikah,2,D3,082444833524,False,True,34
35,Ibu Intan Haryanti,41,Female,Desa Cipanas,Majalengka,Jawa Barat,Jahit Pakaian (Tailoring),Terima jahit baju celana dan rok untuk warga sekitar. Punya mesin jahit manual,3720870,14.7,Janda,1,SMA,089328777174,False,True,65
36,Ibu Julia Palastri,41,Female,Desa Sindanglaya,Bandung,Jawa Barat,Jahit Pakaian (Tailoring),Usaha jahit pakaian custom dan perbaikan baju. Sudah punya pelanggan tetap,3296239,7.3,Menikah,0,SMP,085115889264,True,False,80
37,Ibu Rachel Hutapea,37,Female,Desa Sukamaju,Majalengka,Jawa Barat,Jahit Pakaian (Tailoring),Terima jahit baju celana dan rok untuk warga sekitar. Punya mesin jahit manual,3771376,7.5,Menikah,5,D3,085892304399,True,True,65
38,Ibu Aisyah Prabowo,28,Female,Desa Sindanglaya,Garut,Jawa Barat,Jahit Pakaian (Tailoring),Jahit baju rumah dan sekolah kadang dapat pesanan seragam,3355265,5.1,Menikah,5,SMP,083108013058,True,False,23
39,Ibu Iriana Mansur,55,Female,Desa Cikalong,Garut,Jawa Barat,Jualan Sayur (Vegetable Vendor),Jualan sayur keliling dari pagi sampai siang. Ambil sayur dari pasar grosir,2379368,6.5,Janda,5,D3,087105601963,True,False,36
40,Ibu Najwa Nasyiah,25,Female,Desa Sindanglaya,Tasikmalaya,Jawa Barat,Jualan Sayur (Vegetable Vendor),Jualan sayur mayur segar setiap hari pelanggan ibu-ibu di komplek,1780336,11.1,Menikah,2,SD,087274652338,False,False,26
41,Ibu Zelda Winarsih,26,Female,Desa Rancaekek,Cianjur,Jawa Barat,Jualan Sayur (Vegetable Vendor),Jualan sayur keliling dari pagi sampai siang. Ambil sayur dari pasar grosir,1833638,10.1,Menikah,1,SD,082582216716,False,False,55
42,Ibu Qori Wahyudin,53,Female,Desa Cipanas,Tasikmalaya,Jawa Barat,Jualan Sayur (Vegetable Vendor),Jualan sayur mayur segar setiap hari pelanggan ibu-ibu di komplek,1755265,13.9,Menikah,1,SMA,085568773417,False,True,57
43,Ibu Anita Hakim,48,Female,Desa Margahayu,Bandung,Jawa Barat,Jualan Sayur (Vegetable Vendor),Dagang sayur di pasar pagi pulang siang kalau sudah habis,2242057,9.7,Janda,5,SMA,081209556951,True,True,49
44,Ibu Shania Ramadan,31,Female,Desa Bojongsoang,Sumedang,Jawa Barat,Jualan Sayur (Vegetable Vendor),Dagang sayur di pasar pagi pulang siang kalau sudah habis,1817644,9.0,Lajang,1,D3,083415517349,True,False,80
45,Ibu Rahayu Mandasari,35,Female,Desa Margahayu,Bandung,Jawa Barat,Jualan Sayur (Vegetable Vendor),Jualan sayur mayur segar setiap hari pelanggan ibu-ibu di komplek,1797229,8.7,Lajang,1,D3,084276616409,False,False,74
46,Ibu Indah Januar,39,Female,Desa Rancaekek,Majalengka,Jawa Barat,Usaha Catering Rumahan (Home Catering),Usaha katering spesial masakan Sunda sering dapat pesanan event kantor,3981256,7.5,Janda,0,SMP,084410780779,True,False,63
