id,borrower_id,loan_id,note_type,visit_date,note_text,field_agent_name,nlp_analysis_status
1,1,,initial_visit,2025-08-22,"Observasi bisnis Warung Kelontong (Small Shop). Usaha terlihat ramai dengan pelanggan tetap. Ibu Pia menjelaskan omzet harian sekitar Rp 120,058 tergantung hari. Modal kerja harian sekitar Rp 1,440,692 untuk beli bahan baku dan stok. Tempat usaha milik sendiri. Peralatan usaha dalam kondisi baik.",Bapak Eluh Wahyuni,pending
2,1,,initial_visit,2025-10-27,"Observasi bisnis Warung Kelontong (Small Shop). Usaha terlihat sepi tapi stabil. Ibu Pia menjelaskan omzet harian sekitar Rp 120,058 tergantung hari. Modal kerja harian sekitar Rp 1,440,692 untuk beli bahan baku dan stok. Sewa tempat bulanan. Peralatan usaha dalam kondisi baik.",Bapak Ina Ramadan,pending
3,2,,follow_up,2025-08-24,Pertemuan dengan Ibu Jelita di rumah yang juga jadi tempat usaha Warung Kelontong (Small Shop). Rumah sederhana ukuran 6x8 meter dinding tembok setengah bata. Usaha sudah berjalan 8.0 tahun dengan pelanggan tetap dan loyal. Pendidikan SMA bisa baca tulis dan hitung dengan baik. Transparan dan kooperatif saat wawancara.,Ibu Daliman Kurniawan,pending
4,2,,initial_visit,2025-11-11,"Kunjungan ke usaha Warung Kelontong (Small Shop) milik Ibu Jelita Fujiati. Usaha terletak di Desa Cikalong Bandung. Ibu Jelita menceritakan penghasilan sekitar Rp 3,291,275 per bulan atau sekitar Rp 109,709 per hari. Sudah menjalankan usaha selama 8.0 tahun. Belum punya catatan keuangan yang rapi. Sikap kooperatif dan terbuka menceritakan kondisi usaha.",Bapak Bahuwirya Pradipta,pending
5,3,,follow_up,2025-09-25,Pertemuan dengan Ibu Tina di rumah yang juga jadi tempat usaha Warung Kelontong (Small Shop). Rumah sederhana ukuran 6x8 meter dinding tembok setengah bata. Usaha sudah berjalan 5.8 tahun dengan pelanggan tetap dan loyal. Pendidikan D3 bisa baca tulis dan hitung dengan baik. Transparan dan kooperatif saat wawancara.,Bapak Icha Kusumo,pending
6,3,,business_observation,2025-10-02,Pertemuan dengan Ibu Tina di rumah yang juga jadi tempat usaha Warung Kelontong (Small Shop). Rumah sederhana ukuran 6x8 meter dinding tembok setengah bata. Usaha sudah berjalan 5.8 tahun dengan pelanggan tetap dan loyal. Pendidikan D3 bisa baca tulis dan hitung dengan baik. Transparan dan kooperatif saat wawancara.,Ibu Zelda Waluyo,pending
7,4,,initial_visit,2025-08-25,"Kunjungan ke usaha Warung Kelontong (Small Shop) milik Ibu Nadia Prasetyo. Usaha terletak di Desa Margahayu Tasikmalaya. Ibu Nadia menceritakan penghasilan sekitar Rp 3,348,314 per bulan atau sekitar Rp 111,610 per hari. Sudah menjalankan usaha selama 1.5 tahun. Sudah punya buku catatan sederhana. Sikap kooperatif dan terbuka menceritakan kondisi usaha.",Ibu Hardana Nababan,pending
8,4,,business_observation,2025-08-29,"Kunjungan ke usaha Warung Kelontong (Small Shop) milik Ibu Nadia Prasetyo. Usaha terletak di Desa Margahayu Tasikmalaya. Ibu Nadia menceritakan penghasilan sekitar Rp 3,348,314 per bulan atau sekitar Rp 111,610 per hari. Sudah menjalankan usaha selama 1.5 tahun. Sudah punya buku catatan sederhana. Sikap kooperatif dan terbuka menceritakan kondisi usaha.",Bapak Kiandra Lailasari,pending
9,5,,initial_visit,2025-11-16,"Observasi bisnis Warung Kelontong (Small Shop). Usaha terlihat ramai dengan pelanggan tetap. Ibu Tami menjelaskan omzet harian sekitar Rp 156,858 tergantung hari. Modal kerja harian sekitar Rp 1,882,301 untuk beli bahan baku dan stok. Tempat usaha milik sendiri. Peralatan usaha ada yang perlu diganti.",Bapak Natalia Saragih,pending
10,5,,initial_visit,2025-11-10,"Observasi bisnis Warung Kelontong (Small Shop). Usaha terlihat sepi tapi stabil. Ibu Tami menjelaskan omzet harian sekitar Rp 156,858 tergantung hari. Modal kerja harian sekitar Rp 1,882,301 untuk beli bahan baku dan stok. Sewa tempat bulanan. Peralatan usaha dalam kondisi baik.",Ibu dr. Aslijan Hutapea,pending
11,6,,follow_up,2025-10-31,"Kunjungan ke usaha Warung Kelontong (Small Shop) milik Ibu Kezia Anggraini. Usaha terletak di Desa Sindanglaya Majalengka. Ibu Kezia menceritakan penghasilan sekitar Rp 3,893,542 per bulan atau sekitar Rp 129,785 per hari. Sudah menjalankan usaha selama 8.1 tahun. Sudah punya buku catatan sederhana. Sikap kooperatif dan terbuka menceritakan kondisi usaha.","Bapak Tgk. Maman Thamrin, S.H.",pending
12,6,,initial_visit,2025-11-15,"Observasi bisnis Warung Kelontong (Small Shop). Usaha terlihat ramai dengan pelanggan tetap. Ibu Kezia menjelaskan omzet harian sekitar Rp 129,785 tergantung hari. Modal kerja harian sekitar Rp 1,557,417 untuk beli bahan baku dan stok. Tempat usaha milik sendiri. Peralatan usaha dalam kondisi baik.",Ibu Luis Gunawan,pending
13,7,,initial_visit,2025-11-08,"Observasi bisnis Warung Kelontong (Small Shop). Usaha terlihat sepi tapi stabil. Ibu Padma menjelaskan omzet harian sekitar Rp 142,252 tergantung hari. Modal kerja harian sekitar Rp 1,707,019 untuk beli bahan baku dan stok. Tempat usaha milik sendiri. Peralatan usaha dalam kondisi baik.",Ibu Halima Pangestu,pending
14,8,,initial_visit,2025-08-28,"Observasi bisnis Warung Kelontong (Small Shop). Usaha terlihat ramai dengan pelanggan tetap. Ibu Tantri menjelaskan omzet harian sekitar Rp 155,919 tergantung hari. Modal kerja harian sekitar Rp 1,871,024 untuk beli bahan baku dan stok. Tempat usaha milik sendiri. Peralatan usaha ada yang perlu diganti.",Bapak Keisha Maryadi,pending
15,8,,follow_up,2025-09-12,"Observasi bisnis Warung Kelontong (Small Shop). Usaha terlihat sepi tapi stabil. Ibu Tantri menjelaskan omzet harian sekitar Rp 155,919 tergantung hari. Modal kerja harian sekitar Rp 1,871,024 untuk beli bahan baku dan stok. Sewa tempat bulanan. Peralatan usaha dalam kondisi baik.",Ibu Nalar Pudjiastuti,pending
16,9,,business_observation,2025-10-02,Pertemuan dengan Ibu Icha di rumah yang juga jadi tempat usaha Warung Kelontong (Small Shop). Rumah cukup layak dengan kondisi terawat. Usaha sudah berjalan 3.8 tahun dengan pelanggan yang lumayan stabil. Pendidikan SD bisa baca tulis dasar. Transparan dan kooperatif saat wawancara.,"Bapak Umi Nashiruddin, S.Pd",pending
17,10,,initial_visit,2025-10-15,"Kunjungan ke usaha Warung Kelontong (Small Shop) milik Ibu Padmi Gunarto. Usaha terletak di Desa Bojongsoang Tasikmalaya. Ibu Padmi menceritakan penghasilan sekitar Rp 3,572,451 per bulan atau sekitar Rp 119,082 per hari. Sudah menjalankan usaha selama 11.9 tahun. Belum punya catatan keuangan yang rapi. Sikap kooperatif dan terbuka menceritakan kondisi usaha.",Bapak Icha Pratama,pending
18,11,,follow_up,2025-09-16,Pertemuan dengan Ibu Usyi di rumah yang juga jadi tempat usaha Warung Kelontong (Small Shop). Rumah sederhana ukuran 6x8 meter dinding tembok setengah bata. Usaha sudah berjalan 11.2 tahun dengan pelanggan tetap dan loyal. Pendidikan D3 bisa baca tulis dan hitung dengan baik. Transparan dan kooperatif saat wawancara.,Ibu Icha Damanik,pending
19,12,,business_observation,2025-09-09,"Observasi bisnis Warung Kelontong (Small Shop). Usaha terlihat ramai dengan pelanggan tetap. Ibu Bella menjelaskan omzet harian sekitar Rp 116,030 tergantung hari. Modal kerja harian sekitar Rp 1,392,360 untuk beli bahan baku dan stok. Tempat usaha milik sendiri. Peralatan usaha dalam kondisi baik.",Bapak Maria Manullang,pending
20,12,,follow_up,2025-09-10,Pertemuan dengan Ibu Bella di rumah yang juga jadi tempat usaha Warung Kelontong (Small Shop). Rumah cukup layak dengan kondisi terawat. Usaha sudah berjalan 10.6 tahun dengan pelanggan yang lumayan stabil. Pendidikan SMA bisa baca tulis dan hitung dengan baik. Agak tertutup tapi mau bekerja sama saat wawancara.,Ibu Puti Kiandra Marpaung,pending
21,13,,initial_visit,2025-10-28,"Observasi bisnis Warung Kelontong (Small Shop). Usaha terlihat ramai dengan pelanggan tetap. Ibu Michelle menjelaskan omzet harian sekitar Rp 114,591 tergantung hari. Modal kerja harian sekitar Rp 1,375,088 untuk beli bahan baku dan stok. Sewa tempat bulanan. Peralatan usaha dalam kondisi baik.","Ibu Cahya Putra, S.IP",pending
